created,duration,id,name,rsvp_limit,status,time,local_date,local_time,updated,utc_offset,waitlist_count,yes_rsvp_count,link,description,visibility,how_to_find_us,rsvp_open_offset,manual_attendance_count,fee.accepts,fee.amount,fee.currency,fee.description,fee.label,fee.required,venue.id,venue.name,venue.lat,venue.lon,venue.repinned,venue.address_1,venue.city,venue.country,venue.localized_country_name,venue.zip,venue.state,group.created,group.name,group.id,group.join_mode,group.lat,group.lon,group.urlname,group.who,group.localized_location,group.region
1512679028e3,7200000,245736195,R Ladies Workshop - Functional Programming with Purrr,40,upcoming,1515627e6,2018-01-10,18:30,1512680175e3,-18000000,0,28,https://www.meetup.com/rladies-newyork/events/245736195/,"<p>Kick 2018 off on the right foot with R Ladies! Join us for our January Workshop for the return of Joyce Robbins, a Statistics Lecturer at Columbia and the host of R Ladies NYC's inaugural workshop on data vizualization. Joyce will walk through the powerful purrr package (purrr.tidyverse.org), a complete and coherent toolkit for working with functions and vectors in R .</p> <p>About the speaker:<br/>Joyce Robbins, Ph.D., is Lecturer in Discipline in the Statistics Department at Columbia University, where she specializes in data visualization. She is a member of the R Forwards (<a href=""https://forwards.github.io/"" class=""linkified"">https://forwards.github.io/</a>) (R Foundation taskforce on women and other under-represented groups) teaching team, and elected to serve as publications officer of the Statistical Graphics Section of the American Statistical Association Section beginning in 2018. Robbins received her doctorate in sociology from Columbia University, her M.A. in sociology and anthropology from Tel Aviv University and her B.S.E. in civil engineering and operations research from Princeton University.</p> <p>We want to thank our generous sponsors, the Data Science Institute at Columbia University, for hosting us! About Columbia DSI:<br/>The Data Science Institute at Columbia University (<a href=""http://datascience.columbia.edu/"" class=""linkified"">http://datascience.columbia.edu/</a>) is training the next generation of data scientists and developing innovative technology to serve society. With over 250-affiliated faculty working in a wide range of disciplines, the Institute seeks to foster collaboration in advancing techniques to gather and interpret data, and to address the urgent problems facing society. The Institute works closely with industry to bring promising ideas to market.</p> <p>• What to bring<br/>Bring a charged computer with R (<a href=""https://www.r-project.org/"" class=""linkified"">https://www.r-project.org/</a>) and RStudio (<a href=""https://www.rstudio.com/products/rstudio/download/"" class=""linkified"">https://www.rstudio.com/products/rstudio/download/</a>) installed.</p> <p>• Important to know<br/>Detailed instructions on entering the building will be sent to registered participants before the event. Please take care to arrive as promptly as possible.</p> ",public,,,,wepay,5,USD,per person,price,TRUE,25652907,Schapiro Center Columbia University ,40.80979919433594,-73.96073150634766,FALSE,530 West 120th St,New York,us,USA,10027,ny,147198606e4,R-Ladies New York,20346526,open,40.75,-73.98999786376953,rladies-newyork,Rladies,"New York, NY",en_US
1513314009e3,9000000,245934213,Kick off 2018,,upcoming,15161256e5,2018-01-16,19:00,1513314009e3,3600000,0,21,https://www.meetup.com/rladies-berlin/events/245934213/,"<p>Let's get together to plan the first half of R-Ladies Berlin 2018.</p> <p>Do you have an idea for an event? A package that you would love to introduce to us? There is a thing you always wanted to get hands-on?</p> <p>Everyone is welcome to join and / or contribute with ideas and suggestions! You never have been to an R-Ladies event before but want to get to know us? Sure, pass by and ask all the questions you have!</p> <p>On behalf of the R-Ladies Berlin organization team<br/>Christin</p> ",public,,,,,,,,,,,,,,,,,,,,,1477914332e3,R-Ladies Berlin,20977178,open,52.52000045776367,13.380000114440918,rladies-berlin,R-Ladies,"Berlin, Germany",en_US
1513802663e3,7200000,246072119,"Book Club: ""R for Data Science"" Chapters 1 - 8",,upcoming,1516158e6,2018-01-16,19:00,1513802783e3,-28800000,0,12,https://www.meetup.com/rladies-san-diego/events/246072119/,"<p>The first R-Ladies San Diego book club! Our first book is ""R for Data Science"" (<a href=""http://r4ds.had.co.nz/"" class=""linkified"">http://r4ds.had.co.nz/</a>). Please come having read Chapters 1 - 8 (Part I: Explore).</p> <p>Please bring your laptop and an electronic or hardcopy of ""R for Data Science"".</p> ",public,Directions on how to get to  SDSU's Coastal and Marine Institute: http://www.sci.sdsu.edu/cmi/location-and-directions/,,,,,,,,,25667485,SDSU's Coastal and Marine Institute,32.73181915283203,-117.21068572998047,FALSE,4165 Spruance Rd,San Diego,us,USA,92101,ca,1497649358e3,R-Ladies San Diego,24506595,open,32.75,-117.16999816894531,rladies-san-diego,San Diegan R-Ladies,"San Diego, CA",en_US
151266009e4,5400000,245727945,How to become a real-life data scientist ,20,upcoming,15162876e5,2018-01-18,16:00,1513107823e3,3600000,0,15,https://www.meetup.com/rladies-copenhagen/events/245727945/,"<p>Hello R-Ladies community! We are ready to kick-start our local chapter of R-Ladies! Come along and feel free to bring a friend (or 2!) to find out what R-Ladies is all about and get to know fellow R-enthusiasts in Copenhagen. Big thanks to Prosa (<a href=""https://www.prosa.dk"" class=""linkified"">https://www.prosa.dk</a>) for sponsoring our kickoff!!!</p> <p>Updated Agenda:</p> <p>16:00-16:10-; Arrival</p> <p>16:10 - 16: 40-; Introduction of R-Ladies Global and Copenhagen chapter</p> <p>16:40 - 17:20 -; Lightning talks</p> <p>Kristina Gregorio, lead data scientist on the story of her life. “How to become a real-life data scientist “</p> <p>Diana Lucatero, soon-to-be PhD fellow, on how to predict the weather , ""How a 18th century reverend is helping you decide whether you should take your umbrella out! - On the use of the Bayes theorem in meteorology, probabilistic forecasting, verification and R! “</p> <p>17:20 - 17:30 - Planning for next meetup</p> ",public,,PT933H,,,,,,,,15625982,PROSA,55.67877960205078,12.562673568725586,FALSE,Vester Farimagsgade 37A,1606,dk,Denmark,,,1511195891e3,R-Ladies Copenhagen,26653718,open,55.68000030517578,12.569999694824219,rladies-copenhagen,R-Ladies,"Copenhagen, Denmark",en_US
1509545922e3,,244717019,Save the Date,,upcoming,15163164e5,2018-01-18,18:00,1509545922e3,-18000000,0,2,https://www.meetup.com/rladies-charlottesville/events/244717019/,<p>More information to come!</p> ,public,,,0,,,,,,,,,,,,,,,,,,1506014722e3,R-Ladies Charlottesville,26004745,open,38,-78.45999908447266,rladies-charlottesville,Members,"Charlottesville, VA",en_US
1511877091e3,7200000,245465157,R Ladies book club: Everybody Lies,,upcoming,15164784e5,2018-01-20,15:00,1512940585e3,-18000000,0,29,https://www.meetup.com/rladies-newyork/events/245465157/,"<p>Thanks to everyone who took the recent poll regarding our next book club topic! There were equal votes for a technical book and a less technical non-fiction, but with a number of write-ins specifically for Everybody Lies, it was the winner for January. We'll read a more technical book for the April meeting.</p> <p>At this book club we'll be discussing Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are by Seth Stephens-Davidowitz. Please support our host and local bookstore by ordering the book with the link below (ignore the note that says ""Available for Back-Order):<br/><a href=""https://www.rizzolibookstore.com/everybody-lies-big-data-new-data-and-what-internet-can-tell-us-about-who-we-really-are-0"" class=""linkified"">https://www.rizzolibookstore.com/everybody-lies-big-data-new-data-and-what-internet-can-tell-us-about-who-we-really-are-0</a></p> <p>You are invited to join the R Ladies NYC book club group on Goodreads: <a href=""https://www.goodreads.com/group/show/225365-r-ladies-nyc"" class=""linkified"">https://www.goodreads.com/group/show/225365-r-ladies-nyc</a> . Use the Goodreads page or the rladiesbookclub channel on slack to suggest books for future meetings.</p> ",public,Head straight to the back of this lovely bookstore to find our group.,,,,,,,,,25038699,Rizzoli Bookstore,40.7400016784668,-73.98999786376953,FALSE,1133 Broadway (Broadway & 26th) ,New York ,us,USA,10010,NY,147198606e4,R-Ladies New York,20346526,open,40.75,-73.98999786376953,rladies-newyork,Rladies,"New York, NY",en_US
1514848315764,9000000,246106335,purrr with Phoebe Wong,,upcoming,15167484e5,2018-01-23,18:00,1514848315764,-18000000,0,13,https://www.meetup.com/rladies-boston/events/246106335/,,public_limited,,,,,,,,,,,,,,,,,,,,,1474065871e3,R-Ladies Boston,20433637,approval,42.36000061035156,-71.06999969482422,rladies-boston,R-ladies,"Boston, MA",en_US
1514399582e3,5400000,246241644,Start 2018 with a bang! ,30,upcoming,15168384e5,2018-01-24,19:00,1514399711e3,-18000000,0,6,https://www.meetup.com/R-Ladies-Orlando/events/246241644/,"<p>• What we'll do<br/>Let's welcome 2018 together.</p> <p>Join us January 24,2018 to welcome the new year.</p> <p>We couldn't be more excited to finally have Amanda Cesario presenting at this Meetup. Amanda is a Senior Analyst at EA sports, she will share with us some of her educational background and career path, how she uses R at EA, and give us a glimpse of her everyday tasks and responsibilities. She is a great inspiration to launch this new year and keep us motivated to learn R.</p> <p>This is a casual meetup where we get the chance to simply socialize and network, so no need to bring your laptop. R-Consortium is kindly sponsoring this event, so we will have food and drinks. If you are new to R , this will be a great introductory meetup so please don't hesitate to attend.</p> <p>Agenda:<br/>7:00 - 7:30 Food and Drinks<br/>7:30 - 8:00 Amanda Cesario's presentation<br/>8:00 - 8:30 Q&amp;A, chat and socialize.</p> <p>As always , everyone is welcome, but must adhere to our code of conduct : <a href=""https://github.com/rladies/starter-kit/wiki/Code-of-Conduct"" class=""linkified"">https://github.com/rladies/starter-kit/wiki/Code-of-Conduct</a></p> <p>Looking forward to seeing you soon! Location TBA</p> <p>• What to bring</p> <p>• Important to know<br/><a href=""https://github.com/rladies/starter-kit/wiki/Code-of-Conduct"" class=""linkified"">https://github.com/rladies/starter-kit/wiki/Code-of-Conduct</a></p> ",public,,,,,,,,,,20921012,New location TBA,28.538230895996094,-81.37738800048828,FALSE,TBA,Orlando,us,USA,"",FL,1496674452e3,R-Ladies Orlando,24292488,open,28.540000915527344,-81.37000274658203,R-Ladies-Orlando,Members,"Orlando, FL",en_US
151224934e4,7200000,245595598,Kickoff meeting R-ladies Lausanne,40,upcoming,15175044e5,2018-02-01,18:00,1512480438e3,3600000,0,7,https://www.meetup.com/rladies-lausanne/events/245595598/,"<p>Please register on eventbrite here (not on meetup): <a href=""https://www.eventbrite.com/e/r-ladies-lausanne-tickets-40902966875"" class=""linkified"">https://www.eventbrite.com/e/r-ladies-lausanne-tickets-40902966875</a></p> <p>• What we'll do</p> <p>Hello R-Ladies community!<br/>We are ready to kick-start our Lausanne chapter of the R-Ladies!<br/>Come along to this introductory event where we will discuss the mission of R-Ladies, goals of our chapter and get to know each other. This event is hosted at University of Lausanne!<br/>Space is limited so please make sure you RSVP to get your spot.</p> <p>Here is a tentative agenda. Times may shift depending on how many folks show up and what you are interested in sharing.<br/>6:00-6:15 pm - Arriving/networking<br/>6:15 pm: Introduction; a presentation with a discussion on:<br/>• What is R-Ladies?<br/>• What would we like to see at R-Ladies events<br/>• Share your comments about location for future meetups</p> <p>6:45 pm - Lightning talks or an R related talk (depending on interest)<br/>Lightning talks - this is an opportunity to informally introduce ourselves and share what we are using R for or what we are hoping to do with R (~ 5-10 minutes each). If you would like to give a little talk, here's a link to sign up HERE (<a href=""https://goo.gl/forms/l2TEjOD7rTGem0jw1).There"" class=""linkified"">https://goo.gl/forms/l2TEjOD7rTGem0jw1).There</a> is no need for fancy slides (or any slides), the idea is to share our R interests/backgrounds and for the members to get to know each other.</p> ",public,"Anthropole, Unil room 3068",,,,,,,,,25644312,UNIL,46.523681640625,6.584339141845703,FALSE,Anthropole,Lausanne,ch,Switzerland,,,1512244428e3,R-Ladies Lausanne,26765765,open,46.52000045776367,6.619999885559082,rladies-lausanne,R-Ladies,"Lausanne, Switzerland",en_US
